title,author,date,summary,link
"बिहार में उपमुख़्यमंत्री के आवास पर दलित महिला शिक्षिका के साथ हुई छेड़छाड़ , रेप की दी गई धमकी",Shabnam,"नवम्बर 23, 2021",बिहार में जंहा गुंडाराज आम हैं वही आए दिन महिलाओं के साथ छेड़ छाड़ की भी घटना आम हैं  कभी महिलाओं को जबरन हवस का […],https://dalittimes.in/because-their-coming-from-a-backward-section-would-have-been-enough-to-exploit-them-whether-it-was-about-earning-their-rights-or-exploiting-them-recently-a-case-has-come-to-the-fore-in-which-a-dalit/
"एमपी में दिहाड़ी की मांग करने पर दलित व्यक्ति का काटा हाथ,भीम आर्मी चीफ चंद्र शेखर आज़ाद ने ट्वीट कर जताया रोष",Shabnam,"नवम्बर 22, 2021",मध्य प्रदेश के रीवा जिले में एक अधिकारी ने रविवार को कहा कि एक 45 वर्षीय मजदूर का हाथ उसके नियोक्ता द्वारा कथित तौर पर […],https://dalittimes.in/a-45-year-old-dalit-construction-workers-hand-was-hacked-off-with-a-sword-in-dolmou-village-of-madhya-pradeshs-rewa-district-on-saturday-allegedly-by-a-man-who-owed-him-money-for-wo/
"तेलंगाना में पुलिस की बर्बता से दलित महिला की हुई मौत,परिवार ने लगायी न्याय की गुहार",Shabnam,"नवम्बर 19, 2021","तेलंगाना में 21 वर्षीय दलित अंबादीपुडी उदय 17 जून की रात को जबरन गिरफ्तार किए जाने के बाद से जीवन लिए संघर्ष कर रहा है,घटना […]",https://dalittimes.in/ambadipudi-uday-a-21-year-old-dalit-in-telangana-has-been-struggling-to-live-down-the-night-of-june-17-when-the-police-allegedly-subjected-him-and-his-mother-to-brutal-violence-during-interrogation/
"हैदराबाद के एक स्कूल में दलित छात्रा ने लगाया शिक्षक पर आरोप ,जाँच के बहाने किया प्रताड़ित",Shabnam,"नवम्बर 18, 2021",हैदराबाद के सेंट एंड्रयूज स्कूल की 15 वर्षीय दलित छात्रा को उसके शिक्षक ने परीक्षा में नकल करने के संदेह में कथित तौर पर कपड़े […],https://dalittimes.in/a-15-year-old-dalit-student-of-the-st-andrews-school-in-hyderabad-was-allegedly-made-to-strip-by-her-teacher-on-the-suspicion-that-she-was-copying-in-the-exams-anita-who-studies-at-one-of-the-bran/
त्रिपुरा हिंसा: दिल्ली की दो महिला पत्रकारों को असम पुलिस ने हिरासत में लिया,Shabnam,"नवम्बर 15, 2021","दिल्ली की महिला पत्रकार समृद्धि के सकुनिया और स्वर्ण झा, जिन्हें त्रिपुरा में आपराधिक साजिश सहित विभिन्न आरोपों में गिरफ्तार किया गया था, असम के […]",https://dalittimes.in/guwahati-delhi-based-women-journalists-sammriddhi-k-sakunia-and-swarna-jha-booked-in-tripura-on-various-charges-including-criminal-conspiracy-were-detained-by-the-police-in-assams-karimga/
"यूपी के चंदौली में जातीय हिंसा,दलित युवक की रॉड-पत्थरों से पीट-पीटकर हत्या",Shabnam,"नवम्बर 13, 2021",यूपी के चंदौली में जातीय हिंसा में एक दलित युवक की रॉड-पत्थरों से पीट-पीटकर हत्या कर दी गई.जिससे आस पास के एरिया में अफरा तफरी […],https://dalittimes.in/a-dalit-youth-was-beaten-to-death-with-rods-and-stones-in-the-caste-violence-in-chandauli-up-due-to-which-there-has-been-an-atmosphere-of-chaos-in-the-surrounding-area-the-relatives-and-villagers-o/
कासगंज : पुलिस हिरासत में युवक की मौत पर मायावती ने यूपी सरकार पर निशाना साधा,Shabnam,"नवम्बर 13, 2021",बहुजन समाज पार्टी (बसपा) प्रमुख मायावती ने गुरुवार को कासगंज जिले में पुलिस हिरासत में एक युवक की मौत को लेकर उत्तर प्रदेश सरकार पर […],https://dalittimes.in/bahujan-samaj-party-bsp-chief-mayawati-on-thursday-hit-out-at-the-uttar-pradesh-government-over-the-death-of-a-youth-in-police-custody-in-kasganj-district-and-demanded-a-high-level-inquiry-into-the/
"तमिलनाडु में मृत मिला दलित व्यक्ति, परिवार ने लगाया रिश्ते को लेकर जाति के आधार पर हत्या का आरोप",Shabnam,"नवम्बर 12, 2021","तमिलनाडु का एक 27 वर्षीय आदि द्रविड़ व्यक्ति रविवार, 07 नवंबर को कन्याकुमारी जिले के नागरकोइल के पास एक खेत में बेहोश पड़ा मिला। बाद […]",https://dalittimes.in/a-27-year-old-adi-dravidar-man-from-tamil-nadu-was-found-lying-unconcious-in-a-field-on-sunday-november-07-near-nagercoil-in-kanyakumari-district-he-was-later-declared-dead-at-a-goverment-hosptial-n/
"दलित लड़की से रेप, हत्या : फोरेंसिक रिपोर्ट का दावा आरोपी के कपड़ों पर पीड़िता के खून की मौजूदगी नहीं",Shabnam,"नवम्बर 11, 2021",दिल्ली पुलिस ने अगस्त महीने में हुए नाबालिग बच्ची के साथ सामूहिक रेप के आरोप में नाबालिग की माँ के बयान के आधार पर चार […],https://dalittimes.in/the-delhi-police-had-registered-a-case-against-four-accused-in-the-august-gang-rape-case-based-on-the-statement-of-the-minors-mother-who-alleged-that-her-daughter-was-raped-murdered-and-killed-by/
"कासगंज पुलिस कस्टडी में हुई एक युवक की मौत,परिवार ने लगाया पुलिस पर आरोप",Shabnam,"नवम्बर 10, 2021",उत्तर प्रदेश में पुलिस की कस्टडी में मौतों की घटनाएं आम बनती जा रही है।उत्तर प्रदेश के कासगंज जनपद की सदर कोतवाली की हवालात में […],https://dalittimes.in/incidents-of-death-in-police-custody-are-becoming-common-in-uttar-pradesh-a-case-of-death-of-a-young-man-lodged-in-the-custody-of-sadar-kotwali-of-kasganj-district-of-uttar-pradesh-has-come-to-light/
दलित ग्रामीण की हत्या के आरोप में तीन गिरफ्तार,Shabnam,"नवम्बर 8, 2021",खेड़ा टाउन थाने में एक दलित परिवार के सदस्य ने हत्या के मामले में एफआईआर दर्ज करवाई जिसमे पीड़िता के चचेरे भाई ने आरोप लगाया […],https://dalittimes.in/the-murder-was-committed-on-sunday-afternoon-when-the-victim-pritesh-babu-makwana-35-was-harvesting-paddy-on-a-four-bigha-farm-adjoining-the-farm-of-the-accused-police-said-that-the-families-of/
यूपी में दो दलित बहनों के साथ हुआ जबरन यौन उत्पीड़न,Shabnam,"नवम्बर 7, 2021",उत्तर प्रदेश के मैनपुरी जिले में शुक्रवार को दलित समुदाय की दो नाबालिग बहनों के साथ दो लोगों ने कथित तौर पर बलात्कार किया. पुलिस […],https://dalittimes.in/two-minor-sisters-belonging-to-the-dalit-community-were-allegedly-raped-by-two-men-in-mainpuri-district-of-uttar-pradesh-on-friday-one-of-the-two-accused-have-been-arrested-by-the-police/
शादी के बाद धर्म न परिवर्तित पर केरल के दलित व्यक्ति से मारपीट,Shabnam,"नवम्बर 6, 2021",दक्षिण केरल के एक जिले में दलित समुदाय के एक व्यक्ति को उसकी पत्नी के भाई ने कथित तौर पर धर्म परिवर्तित न करने पर […],https://dalittimes.in/kerala-dalit-man-assaulted-not-converting-to-christianity-after-wedding/
भीम आर्मी की टीम पर अराजक तत्वो ने किया जानलेवा हमला,Shabnam,"नवम्बर 6, 2021",थाना क्षेत्र दौसा मीटिंग मे जा रही भीम आर्मी की टीम पर अराजक तत्वो ने जानलेवा हमला किया। भीम आर्मी के ट्वीटर आकउंट से वीडियो […],https://dalittimes.in/bhim-army-team-attack-bhimarmy-the-chaotic-elements-attacked-the-bhim-army-team-going-to-the-dausa-meeting-in-the-police-station-area/
"राजस्थान दलित व्यक्ति की पीट-पीट कर हत्या , 11 लोगों के खिलाफ मामला दर्ज।",montu,"अक्टूबर 14, 2021",राजस्थान के हनुमानगढ़ जिले में एक दलित व्यक्ति की पीट-पीटकर हत्या कर दी गई। पुलिस ने शनिवार को यह जानकारी दी। उन्होंने बताया कि इस […],https://dalittimes.in/%e0%a4%b0%e0%a4%be%e0%a4%9c%e0%a4%b8%e0%a5%8d%e0%a4%a5%e0%a4%be%e0%a4%a8-%e0%a4%a6%e0%a4%b2%e0%a4%bf%e0%a4%a4-%e0%a4%b5%e0%a5%8d%e0%a4%af%e0%a4%95%e0%a5%8d%e0%a4%a4%e0%a4%bf-%e0%a4%95%e0%a5%80/
बाबासाहेब का कार्यक्रम करने पर दलित परिवार पर कर दिया राजपूत समाज ने  हमला,Khushboo,"अक्टूबर 11, 2021",रबूपुरा के गांव कानपुर में रविवार दोपहर एक दलित परिवार पर हमले में चार महिलाएं और तीन युवक गंभीर रूप से घायल हो गए। आरोप […],https://dalittimes.in/%e0%a4%ac%e0%a4%be%e0%a4%ac%e0%a4%be%e0%a4%b8%e0%a4%be%e0%a4%b9%e0%a5%87%e0%a4%ac-%e0%a4%95%e0%a4%be-%e0%a4%95%e0%a4%be%e0%a4%b0%e0%a5%8d%e0%a4%af%e0%a4%95%e0%a5%8d%e0%a4%b0%e0%a4%ae-%e0%a4%95/
"कर्नाटका में एक दलित महिला के साथ रेप का प्रयास, विरोध करने पर जलाया और कर दी हत्या।",Khushboo,"अक्टूबर 8, 2021","कर्नाटक के गृह मंत्री अरागा ज्ञानेंद्र ने संवाददाताओं से कहा कि यादगीर की घटना के आरोपी, जहां बलात्कार के प्रयास का विरोध करने करने पर […]",https://dalittimes.in/%e0%a4%95%e0%a4%b0%e0%a5%8d%e0%a4%a8%e0%a4%be%e0%a4%9f%e0%a4%95%e0%a4%be-%e0%a4%ae%e0%a5%87%e0%a4%82-%e0%a4%8f%e0%a4%95-%e0%a4%a6%e0%a4%b2%e0%a4%bf%e0%a4%a4-%e0%a4%ae%e0%a4%b9%e0%a4%bf%e0%a4%b2/
क्या कोई लड़की पढ़ने के लिए बाहर भी नहीं जा सकती?’ 16 साल की बेटी की हत्या के बाद रोता UP का दलित परिवार!,Khushboo,"अक्टूबर 7, 2021","एक लड़की अपने परिवार की आर्थिक समस्याओं से परेशान थी, दो बार दिल का दौरा पड़ने के बाद वह चाहती थीं कि उनके पिता ऑटोरिक्शा […]",https://dalittimes.in/%e0%a4%95%e0%a5%8d%e0%a4%af%e0%a4%be-%e0%a4%95%e0%a5%8b%e0%a4%88-%e0%a4%b2%e0%a4%a1%e0%a4%bc%e0%a4%95%e0%a5%80-%e0%a4%aa%e0%a4%a2%e0%a4%bc%e0%a4%a8%e0%a5%87-%e0%a4%95%e0%a5%87-%e0%a4%b2%e0%a4%bf/
जम्मू कश्मीर में आतंकवादी ने स्कूल के प्रिंसिपल और शिक्षक की गोली मारकर हत्या कर दी,Pranjal Sahu,"अक्टूबर 7, 2021","एक भयानक आतंकी हमले में, अज्ञात आतंकवादियों ने गुरुवार को कश्मीर में दो शिक्षकों की गोली मारकर हत्या कर दी, जिनमें से एक स्कूल प्रिंसिपल […]",https://dalittimes.in/terrorist-shoots-dead-school-principal-and-teacher-in-jammu-and-kashmir/
परिवार की शिकायत में कहा गया है कि मृत पत्रकार को ‘किसानों को मारने वाले वीआईपी काफिले को फिल्माने’ के लिए ‘गोली मार दी गई’,Pranjal Sahu,"अक्टूबर 6, 2021","5 अक्टूबर मंगलवार की सुबह ,अपने घर पर बैठकर राम दुलारे कश्यप अख़बार पढ़ रहे थे जिसमें उनके 35 वर्षीय बेटे रमन की मौत का […]",https://dalittimes.in/familys-complaint-says-dead-journalist-was-shot-for-filming-vip-convoy-killing-farmers/
